"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Feature16"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.305397822546	0.86371293535738	0.1443106174957	0.791629669380676	"abundance"	100	29	0.000227056364930383	0.00561333791077891
"Feature16"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.0818923582886	0.280306079874705	0.000113534627521015	0.00505229092468515	"prevalence"	100	29	0.000227056364930383	0.00561333791077891
"Feature45"	"Metadata_1"	"1"	"Metadata_11"	0.671025249899247	0.798633596550913	0.405660137607683	0.926464714371177	"abundance"	100	47	0.000377076218676509	0.00841166214514162
"Feature49"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.200696938880154	1.11171068351823	0.859153100457004	0.990158682521849	"abundance"	100	21	0.00037805223124232	0.00841166214514162
"Feature45"	"Metadata_1"	"1"	"Metadata_11"	2.16391492602085	0.579535940098297	0.000188555885999327	0.00647112100566597	"prevalence"	100	47	0.000377076218676509	0.00841166214514162
"Feature49"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.73209633634882	0.463967906498853	0.000189043984435186	0.00647112100566597	"prevalence"	100	21	0.00037805223124232	0.00841166214514162
"Feature23"	"Metadata_5"	"1"	"Metadata_51"	-3.36798896304852	0.961381923994191	0.000459568085484194	0.0127817373775291	"prevalence"	100	20	0.000459568085484194	0.00973846657335553
"Feature51"	"Metadata_2"	"1"	"Metadata_21"	-0.0204791701630648	0.541817281485814	0.9699969517082	0.990158682521849	"abundance"	100	57	0.000529328562939224	0.010706873204907
"Feature51"	"Metadata_2"	"1"	"Metadata_21"	1.60776297471513	0.440772596815368	0.000264699314333116	0.00841365677701691	"prevalence"	100	57	0.000529328562939224	0.010706873204907
"Feature71"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.379153413312591	0.268867862345586	0.162977166572884	0.825935132293089	"abundance"	100	75	0.000600655143174118	0.0116213712483688
"Feature71"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.993293813834661	0.274771716021592	0.000300372683461544	0.0089110562760258	"prevalence"	100	75	0.000600655143174118	0.0116213712483688
"Feature49"	"Metadata_5"	"1"	"Metadata_51"	-5.59798487118093	1.22708356281368	0.000374147682540306	0.0139837696349439	"abundance"	100	21	0.000748155378592262	0.0138720476447315
"Feature49"	"Metadata_5"	"1"	"Metadata_51"	-2.05912545484999	0.670192266766568	0.00212316589214808	0.0429458555457225	"prevalence"	100	21	0.000748155378592262	0.0138720476447315
"Feature99"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.23155496445103	0.154858815807945	0.169058589854429	0.842475306107905	"abundance"	100	15	0.00116131990669212	0.0206714943391198
"Feature99"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.51616482228473	0.440692768508163	0.000580828634297271	0.0152040436624874	"prevalence"	100	15	0.00116131990669212	0.0206714943391198
"Feature64"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-3.2280123990975	0.828401553598553	0.000611743844751834	0.020323489953422	"abundance"	100	32	0.00122311345897208	0.0209340572785605
"Feature64"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.127140120527859	0.220257710512963	0.563781756014944	0.999068586141785	"prevalence"	100	32	0.00122311345897208	0.0209340572785605
"Feature22"	"Metadata_2"	"1"	"Metadata_21"	-3.20446349589652	1.00832907457728	0.00148297948111442	0.0316181704154652	"prevalence"	100	14	0.00148297948111442	0.0237136278115989
"Feature28"	"Metadata_5"	"1"	"Metadata_51"	3.05919531905436	0.963156929729124	0.00149209343533656	0.0316181704154652	"prevalence"	100	16	0.00149209343533656	0.0237136278115989
"Feature84"	"Metadata_1"	"1"	"Metadata_11"	-4.53951769687716	0.918766321715584	0.000801266049783357	0.0235638461621318	"abundance"	100	15	0.00160189007228418	0.0245807269712572
"Feature84"	"Metadata_1"	"1"	"Metadata_11"	-1.42048513532477	0.665107127499019	0.0327019316379112	0.419141426731818	"prevalence"	100	15	0.00160189007228418	0.0245807269712572
"Feature67"	"Metadata_1"	"1"	"Metadata_11"	-2.31589700547096	0.66117057340395	0.00114871117056124	0.028622053333151	"abundance"	100	46	0.00229610280376911	0.0340588582559085
"Feature67"	"Metadata_1"	"1"	"Metadata_11"	-0.543190020553233	0.41442976659271	0.189961646087674	0.978790387847326	"prevalence"	100	46	0.00229610280376911	0.0340588582559085
